event_contract,subtype,expiration_date,date,start_price,high_price,low_price,end_price,settlement_price,pair_quantity,open_interest,vwap
HORC_1126_Republican,YES,2027-01-04T15:00:00-06:00,2026-08-23,0.18,0.19,0.18,0.19,0.19,4750,1060526,0.19
HORC_1126_Republican,NO,2027-01-04T15:00:00-06:00,2026-08-23,0.82,0.82,0.81,0.81,0.81,4750,1060526,0.81
HORC_1126_Democratic,YES,2027-01-04T15:00:00-06:00,2026-08-23,0.82,0.82,0.82,0.82,0.82,3000,822120,0.82
HORC_1126_Democratic,NO,2027-01-04T15:00:00-06:00,2026-08-23,0.18,0.18,0.18,0.18,0.18,3000,822120,0.18
FFDEC_091626_E0,YES,2026-09-16T13:00:00-05:00,2026-08-23,0.68,0.00,0.00,0.68,0.68,0,22173,0.00
FFDEC_091626_E0,NO,2026-09-16T13:00:00-05:00,2026-08-23,0.32,0.00,0.00,0.32,0.32,0,22173,0.00
FF_091726_0.875,YES,2026-09-16T13:00:00-05:00,2026-08-23,0.98,0.00,0.00,0.98,0.98,0,0,0.00
FF_091726_0.875,NO,2026-09-16T13:00:00-05:00,2026-08-23,0.02,0.00,0.00,0.02,0.02,0,0,0.00
UHBKF_082326_91,YES,2026-08-24T02:00:00-05:00,2026-08-23,0.49,0.98,0.49,0.98,0.98,1414,784,0.65
UHBKF_082326_91,NO,2026-08-24T02:00:00-05:00,2026-08-23,0.51,0.51,0.02,0.02,0.02,1414,784,0.35
ULATL_082326_73,YES,2026-08-24T00:00:00-05:00,2026-08-23,0.21,0.23,0.02,0.02,0.02,55,55,0.14
ULATL_082326_73,NO,2026-08-24T00:00:00-05:00,2026-08-23,0.79,0.98,0.77,0.98,0.98,55,55,0.86
UST_1230_54.41,YES,2031-01-10T10:00:00-06:00,2026-08-23,0.00,0.00,0.00,0.00,,0,0,0.00
UST_1230_54.41,NO,2031-01-10T10:00:00-06:00,2026-08-23,0.00,0.00,0.00,0.00,,0,0,0.00
"FEDRO_1128_Senate-R,House-R,President-D",YES,2029-01-08T15:00:00-06:00,2026-08-23,0.09,0.00,0.00,0.09,0.09,0,10,0.00
"FEDRO_1128_Senate-R,House-R,President-D",NO,2029-01-08T15:00:00-06:00,2026-08-23,0.91,0.00,0.00,0.91,0.91,0,10,0.00
