country_name	country_iso2	week	category	weekly_rank	show_title	season_title	cumulative_weeks_in_top_10
United States	US	2026-07-26	TV	1	Old US Show	Old US Show: Season 1	4
United States	US	2026-07-26	Films	1	Old US Film	N/A	2
United Kingdom	GB	2026-07-26	TV	1	Old GB Show	N/A	1
United Kingdom	GB	2026-07-26	Films	1	Old GB Film	N/A	1
Brazil	BR	2026-07-26	TV	1	Old BR Show	N/A	3
Brazil	BR	2026-07-26	Films	1	Old BR Film	N/A	1
United States	US	2026-08-02	TV	1	Last Week US Show	Last Week US Show: Season 2	5
United States	US	2026-08-02	Films	1	Last Week US Film	N/A	3
United Kingdom	GB	2026-08-02	TV	1	Last Week GB Show	N/A	2
United Kingdom	GB	2026-08-02	Films	1	Last Week GB Film	N/A	2
Brazil	BR	2026-08-02	TV	1	Last Week BR Show	N/A	4
Brazil	BR	2026-08-02	Films	1	Last Week BR Film	N/A	2
United States	US	2026-08-09	TV	3	Love Is Blind	Love Is Blind: Season 9	5
United States	US	2026-08-09	TV	1	Wednesday	Wednesday: Season 2	3
United States	US	2026-08-09	TV	2	The Hunting Wives	The Hunting Wives: Season 1	2
United States	US	2026-08-09	Films	2	Fall for Me	N/A	2
United States	US	2026-08-09	Films	1	The Last House	N/A	1
United Kingdom	GB	2026-08-09	TV	1	Wednesday	Wednesday: Season 2	3
United Kingdom	GB	2026-08-09	TV	2	Untamed	Untamed: Limited Series	6
United Kingdom	GB	2026-08-09	Films	1	The Last House	N/A	1
Brazil	BR	2026-08-09	TV	1	Ziam	Ziam	1
Brazil	BR	2026-08-09	TV	2	Cien Anos de Soledad	Cien Anos de Soledad: Season 1	2
Brazil	BR	2026-08-09	Films	1	Under a Dark Sun	N/A	1
