week	category	weekly_rank	show_title	season_title	weekly_hours_viewed	runtime	weekly_views	cumulative_weeks_in_top_10
2026-08-02	TV (English)	1	Stranger Things	Stranger Things: Season 5	310000000	1.1	99000000	9
2026-08-02	TV (Non-English)	1	Kpop Demon Hunters	N/A	120000000	1.6	88000000	4
2026-08-02	Films (English)	1	The Old Guard 3	N/A	240000000	2.1	77000000	2
2026-08-02	Films (Non-English)	1	Troll 2	N/A	90000000	1.8	66000000	3
2026-08-09	TV (English)	1	Wednesday	Wednesday: Season 2	71000000	0.9	9000000	3
2026-08-09	TV (English)	2	The Hunting Wives	The Hunting Wives: Season 1	30000000	0.75	4000000	2
2026-08-09	TV (English)	3	Love Is Blind	Love Is Blind: Season 9	21000000	0.8	2600000	5
2026-08-09	TV (English)	4	Untamed	Untamed: Limited Series	16000000	0.85	1900000	6
2026-08-09	TV (English)	5	Ransom Canyon	Ransom Canyon: Season 2	11000000	0.9	1200000	1
2026-08-09	TV (English)	6	The Waterfront	The Waterfront: Season 1	8000000	0.8	1000000	7
2026-08-09	TV (Non-English)	1	Ziam	Ziam	19000000	1.5	12000000	1
2026-08-09	TV (Non-English)	2	La Palma	La Palma: Limited Series	8400000	0.6	3000000	5
2026-08-09	TV (Non-English)	3	Squid Game	Squid Game: Season 3	6900000	1.05	2300000	8
2026-08-09	TV (Non-English)	4	Cien Anos de Soledad	Cien Anos de Soledad: Season 1	5100000	0.95	1500000	2
2026-08-09	TV (Non-English)	5	Berlin	Berlin: Season 2	3800000	0.9	1100000	4
2026-08-09	TV (Non-English)	6	Nowhere Special	N/A	2900000	0.7	900000	1
2026-08-09	Films (English)	1	The Last House	N/A	51400000	1.8667	27500000	1
2026-08-09	Films (English)	2	Fall for Me	N/A	12000000	1.75	6800000	2
2026-08-09	Films (Non-English)	1	Under a Dark Sun	N/A	15000000	1.5	10000000	1
2026-08-09	Films (Non-English)	2	Almost Family	N/A	3000000	N/A	N/A	1
